asset,source,bytes,note
assets/figures/pair10/pair10_dynamics_overview.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/paper_assets_pair10_20260527/figures/pair10_dynamics_overview.png,735225,Pair10 paper overview
assets/figures/pair10/pair10_Hdmaxp_bar.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/paper_assets_pair10_20260527/figures/pair10_Hdmaxp_bar.png,96400,Pair10 Hdmaxp bar
assets/figures/pair10/pair10_var_endpoint_bar.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/paper_assets_pair10_20260527/figures/pair10_var_endpoint_bar.png,103454,Pair10 variance endpoint bar
assets/figures/dapo200/H_heatmap.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/H_heatmap.png,69616,Dapo200 final H heatmap
assets/figures/dapo200/action_entropy_per_token_heatmap.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/action_entropy_per_token_heatmap.png,79676,Dapo200 final action entropy heatmap
assets/figures/dapo200/p_small_multiples.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/p_small_multiples.png,413853,Dapo200 pass-rate small multiples
assets/figures/dapo200/initial_final_relationships.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/initial_final_relationships.png,111706,Dapo200 initial/final relationships
assets/figures/dapo200/sweep_curves.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/sweep_curves.png,232019,Dapo200 sweep curves
assets/figures/transfer_matrix8/delta_p_common_baseline.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/delta_p_common_baseline.png,129635,8x8 common-baseline transfer matrix
assets/figures/transfer_matrix8/positive_delta_p_common_baseline.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/positive_delta_p_common_baseline.png,106686,8x8 positive transfer matrix
assets/figures/transfer_matrix8/self_normalized_delta_p_common_baseline.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/self_normalized_delta_p_common_baseline.png,129437,8x8 self-normalized transfer matrix
assets/figures/transfer_matrix8/info_weighted_positive_common.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/info_weighted_positive_common.png,95892,8x8 information-weighted transfer matrix
assets/figures/perstep_transfer/perstep_cos_bar.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/perstep_cos_bar.png,87715,Per-step alignment cosine bar
assets/figures/perstep_transfer/perstep_transfer_ratio_bar.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/perstep_transfer_ratio_bar.png,98396,Per-step transfer ratio bar
assets/tables/geometry40/story_numbers.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/story_numbers.csv,1763,Geometry40 table: story_numbers.csv
assets/tables/geometry40/bounded_information_by_source.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/bounded_information_by_source.csv,21762,Geometry40 table: bounded_information_by_source.csv
assets/tables/geometry40/action_entropy_by_step.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/action_entropy_by_step.csv,101198,Geometry40 table: action_entropy_by_step.csv
assets/tables/geometry40/additivity_summary.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/additivity_summary.csv,350,Geometry40 table: additivity_summary.csv
assets/tables/geometry40/top_transfer_edges.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/top_transfer_edges.csv,29274,Geometry40 table: top_transfer_edges.csv
assets/tables/geometry40/transfer_out_common_by_source.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/transfer_out_common_by_source.csv,3638,Geometry40 table: transfer_out_common_by_source.csv
assets/tables/geometry40/transfer_in_common_by_target.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/tables/transfer_in_common_by_target.csv,3076,Geometry40 table: transfer_in_common_by_target.csv
assets/tables/geometry40_endpoint/endpoint_transfer_summary.json,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/endpoint_transfer_summary.json,4060,Geometry40 endpoint artifact: endpoint_transfer_summary.json
assets/tables/geometry40_endpoint/endpoint_transfer_records.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/endpoint_transfer_records.csv,1553428,Geometry40 endpoint artifact: endpoint_transfer_records.csv
assets/tables/geometry40_endpoint/delta_p_common_initial_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/delta_p_common_initial_matrix.csv,22755,Geometry40 endpoint artifact: delta_p_common_initial_matrix.csv
assets/tables/geometry40_endpoint/positive_delta_p_common_initial_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/positive_delta_p_common_initial_matrix.csv,14117,Geometry40 endpoint artifact: positive_delta_p_common_initial_matrix.csv
assets/tables/geometry40_endpoint/R_normalized_info_weighted_positive_common_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/R_normalized_info_weighted_positive_common_matrix.csv,9656,Geometry40 endpoint artifact: R_normalized_info_weighted_positive_common_matrix.csv
assets/tables/geometry40_endpoint/target_entropy_drop_common_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/target_entropy_drop_common_matrix.csv,30026,Geometry40 endpoint artifact: target_entropy_drop_common_matrix.csv
assets/tables/geometry40_endpoint/target_variance_drop_common_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/target_variance_drop_common_matrix.csv,29253,Geometry40 endpoint artifact: target_variance_drop_common_matrix.csv
assets/tables/geometry40_endpoint/delta_p_permutation_p_value_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/delta_p_permutation_p_value_matrix.csv,21778,Geometry40 endpoint artifact: delta_p_permutation_p_value_matrix.csv
assets/tables/geometry40_endpoint/gpu_utilization_summary.json,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/analysis/endpoint/gpu_utilization_summary.json,325,Geometry40 endpoint artifact: gpu_utilization_summary.json
assets/tables/geometry40/geometry40_self_gain_by_problem.csv,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/data/dapo17k/geometry40/geometry40_self_gain_by_problem.csv,3855,Paper geometry40 table: geometry40_self_gain_by_problem.csv
assets/tables/geometry40/geometry40_transfer_in_by_target.csv,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/data/dapo17k/geometry40/geometry40_transfer_in_by_target.csv,3076,Paper geometry40 table: geometry40_transfer_in_by_target.csv
assets/tables/geometry40/geometry40_transfer_out_by_source.csv,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/data/dapo17k/geometry40/geometry40_transfer_out_by_source.csv,3638,Paper geometry40 table: geometry40_transfer_out_by_source.csv
assets/tables/pair10/pair_vs_single_Hdmaxp_dataset_summary.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_vs_single_Hdmaxp_dataset_summary.csv,800,Pair10 table: pair_vs_single_Hdmaxp_dataset_summary.csv
assets/tables/pair10/pair_vs_single_var_dataset_summary.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_vs_single_var_dataset_summary.csv,822,Pair10 table: pair_vs_single_var_dataset_summary.csv
assets/tables/pair10/pair_vs_single_matched_final_compare.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_vs_single_matched_final_compare.csv,911,Pair10 table: pair_vs_single_matched_final_compare.csv
assets/tables/pair10/pair_stepwise_dynamics_stats.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_stepwise_dynamics_stats.csv,3334,Pair10 table: pair_stepwise_dynamics_stats.csv
assets/tables/dapo200/sweep_aggregate_metrics.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/sweep_aggregate_metrics.csv,9183,Dapo200 table: sweep_aggregate_metrics.csv
assets/tables/dapo200/sweep_problem_summary.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo200-lr6e6-r32-s50-combined-20260526/final_044405/sweep_problem_summary.csv,34141,Dapo200 table: sweep_problem_summary.csv
assets/tables/transfer_matrix8/endpoint_transfer_summary.json,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/endpoint_transfer_summary.json,1094,Transfer matrix 8 artifact: endpoint_transfer_summary.json
assets/tables/transfer_matrix8/endpoint_transfer_records.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/endpoint_transfer_records.csv,41652,Transfer matrix 8 artifact: endpoint_transfer_records.csv
assets/tables/transfer_matrix8/delta_p_common_initial_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/delta_p_common_initial_matrix.csv,672,Transfer matrix 8 artifact: delta_p_common_initial_matrix.csv
assets/tables/transfer_matrix8/self_normalized_delta_p_common_initial_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/self_normalized_delta_p_common_initial_matrix.csv,991,Transfer matrix 8 artifact: self_normalized_delta_p_common_initial_matrix.csv
assets/tables/transfer_matrix8/transfer_in_by_target.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/transfer_in_by_target.csv,664,Transfer matrix 8 artifact: transfer_in_by_target.csv
assets/tables/transfer_matrix8/transfer_out_by_source.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/transfer-matrix8-20260603-173013/analysis/transfer_out_by_source.csv,658,Transfer matrix 8 artifact: transfer_out_by_source.csv
assets/tables/perstep_transfer/perstep_transfer_summary.json,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/perstep_transfer_summary.json,319,Per-step transfer artifact: perstep_transfer_summary.json
assets/tables/perstep_transfer/perstep_transfer_pair_summaries.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/perstep_transfer_pair_summaries.csv,7313,Per-step transfer artifact: perstep_transfer_pair_summaries.csv
assets/tables/perstep_transfer/cos_euclidean_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/cos_euclidean_matrix.csv,236,Per-step transfer artifact: cos_euclidean_matrix.csv
assets/tables/perstep_transfer/theta_euclidean_deg_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/theta_euclidean_deg_matrix.csv,225,Per-step transfer artifact: theta_euclidean_deg_matrix.csv
assets/tables/perstep_transfer/transfer_ratio_dot_to_self_matrix.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/perstep-transfer-20260603-185621/analysis/transfer_ratio_dot_to_self_matrix.csv,241,Per-step transfer artifact: transfer_ratio_dot_to_self_matrix.csv
assets/tables/sequential_vs_isolated/sequential_vs_isolated_summary.json,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/seq-vs-iso9-20260605_021314/analysis/sequential_vs_isolated_summary.json,820,Sequential vs isolated artifact: sequential_vs_isolated_summary.json
assets/tables/sequential_vs_isolated/sequential_vs_isolated_records.csv,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/seq-vs-iso9-20260605_021314/analysis/sequential_vs_isolated_records.csv,5928,Sequential vs isolated artifact: sequential_vs_isolated_records.csv
assets/manifests/all_existing_assets/manifest.csv,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/manifest.csv,1973732,Index for full local old-asset bundle: manifest.csv
assets/manifests/all_existing_assets/summary_counts.csv,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/summary_counts.csv,465,Index for full local old-asset bundle: summary_counts.csv
assets/manifests/all_existing_assets/source_roots.txt,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/source_roots.txt,11270,Index for full local old-asset bundle: source_roots.txt
assets/manifests/all_existing_assets/README.md,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/README.md,1391,Index for full local old-asset bundle: README.md
assets/figures/geometry40/p_small_multiples.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/aggregate/p_small_multiples.png,194556,Geometry40 per-question pass-rate p_t trajectories
assets/figures/dapo17k_sweep/p_small_multiples.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/p_small_multiples.png,907543,DAPO17k per-question pass-rate p_t trajectories
assets/figures/dapo17k_sweep/completed_problem_H_p_subplots_latest.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/completed_problem_H_p_subplots_latest.png,1249078,DAPO17k completed-problem H(p_t) and p_t subplots
